Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",60.960000,-82.931000,0.000000,top
"C2","100n","C_0805_2012Metric",47.625000,-82.931000,0.000000,top
"C3","100n","C_0805_2012Metric",56.515000,-82.931000,0.000000,top
"C4","100n","C_0805_2012Metric",43.180000,-82.931000,0.000000,top
"C5","100n","C_0805_2012Metric",52.070000,-82.931000,0.000000,top
"C6","100n","C_0805_2012Metric",38.735000,-82.931000,0.000000,top
"C7","220u","CP_Elec_6.3x7.7",67.691000,-80.772000,270.000000,top
"C9","10u","C_1206_3216Metric",53.975000,-75.565000,180.000000,top
"C10","22u","C_1206_3216Metric",53.975000,-79.375000,180.000000,top
"D1","1N4007","D_SOD-123",67.564000,-73.152000,180.000000,top
"D3","LED","LED_0805_2012Metric",39.370000,-78.232000,180.000000,top
"Q1","U8HAB IRLML6244TRPbF","SOT-23",33.020000,-48.260000,0.000000,top
"R1","10k","R_0805_2012Metric",60.960000,-85.598000,180.000000,top
"R2","10k","R_0805_2012Metric",47.625000,-85.598000,180.000000,top
"R3","10k","R_0805_2012Metric",56.515000,-85.598000,180.000000,top
"R4","10k","R_0805_2012Metric",43.180000,-85.598000,180.000000,top
"R5","10k","R_0805_2012Metric",52.070000,-85.598000,180.000000,top
"R6","10k","R_0805_2012Metric",38.735000,-85.598000,180.000000,top
"R7","100k","R_0805_2012Metric",32.766000,-52.578000,180.000000,top
"R8","1k","R_0805_2012Metric",32.766000,-56.134000,180.000000,top
"R9","510","R_0805_2012Metric",39.370000,-74.930000,180.000000,top
"R10","10k","R_0805_2012Metric",60.452000,-53.086000,180.000000,top
"R11","10k","R_0805_2012Metric",60.452000,-56.388000,0.000000,top
"R12","10k","R_0805_2012Metric",48.490500,-103.632000,180.000000,top
"SW1","RESET","SW_Push_1P1T_NO_6x6mm",67.310000,-53.975000,270.000000,top
"SW2","BOOT","SW_Push_1P1T_NO_6x6mm",67.310000,-65.278000,270.000000,top
"U1","ESP32","ESP32-universal-32",46.990000,-56.515000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",46.355000,-77.470000,180.000000,top
