Ref,Val,Package,PosX,PosY,Rot,Side
"C1+","10uF","C_1206_3216Metric",35.560000,-34.036000,90.000000,top
"C2+","10uF","C_1206_3216Metric",35.560000,-29.210000,270.000000,top
"C3+","22uF","C_1206_3216Metric",29.718000,-26.924000,0.000000,top
"C4+","22uF","C_1206_3216Metric",41.402000,-26.924000,0.000000,top
"C5","33p","C_0603_1608Metric",27.432000,-41.148000,270.000000,top
"C6","33p","C_0603_1608Metric",43.688000,-41.148000,270.000000,top
"C7","10u","C_0603_1608Metric",37.592000,-65.532000,180.000000,top
"C8","100n","C_0603_1608Metric",41.656000,-45.974000,0.000000,top
"C9","100n","C_0603_1608Metric",33.274000,-45.974000,0.000000,top
"C10","100n","C_0603_1608Metric",38.862000,-59.944000,180.000000,top
"C11","100n","C_0603_1608Metric",38.862000,-62.230000,180.000000,top
"C12","100n","C_0603_1608Metric",43.180000,-56.134000,90.000000,top
"C13","100n","C_0603_1608Metric",29.210000,-45.974000,180.000000,top
"C14","100n","C_0603_1608Metric",35.306000,-62.230000,0.000000,top
"C15","100n","C_0603_1608Metric",27.686000,-49.009000,270.000000,top
"C16","47n","C_0603_1608Metric",31.750000,-62.230000,0.000000,top
"C17","10n","C_0603_1608Metric",28.194000,-62.230000,0.000000,top
"C18","10n","C_0603_1608Metric",42.418000,-62.230000,180.000000,top
"C19","470n","C_0603_1608Metric",33.020000,-65.532000,180.000000,top
"C20","100n","C_0603_1608Metric",41.656000,-65.532000,0.000000,top
"C21","470uF","CP_Elec_6.3x5.4",44.958000,-83.058000,0.000000,top
"C22","100n","C_0603_1608Metric",28.448000,-71.374000,270.000000,top
"C23+","47uF","C_1206_3216Metric",17.526000,-84.074000,90.000000,top
"C24","100n","C_0603_1608Metric",37.592000,-76.962000,180.000000,top
"C25","470n","C_0603_1608Metric",33.020000,-76.962000,0.000000,top
"C26","10u","C_0603_1608Metric",41.656000,-76.962000,0.000000,top
"R1","1M","R_0603_1608Metric",37.592000,-45.974000,180.000000,top
"R2","10K","R_0603_1608Metric",43.180000,-52.578000,90.000000,top
"R3","100k","R_0603_1608Metric",27.686000,-56.134000,270.000000,top
"R4","10","R_0603_1608Metric",31.750000,-59.944000,180.000000,top
"R5","100k","R_0603_1608Metric",27.686000,-52.578000,90.000000,top
"R6","20","R_0603_1608Metric",28.194000,-59.944000,180.000000,top
"R7","20","R_0603_1608Metric",42.418000,-59.944000,0.000000,top
"R8","100K","R_0603_1608Metric",28.956000,-65.532000,0.000000,top
"R9","100K","R_0603_1608Metric",28.956000,-76.962000,180.000000,top
"R12","510","R_0603_1608Metric",43.180000,-49.022000,270.000000,top
"U1","AMS-3.3","SOT-223-3_TabPin2",29.718000,-33.020000,270.000000,top
"U2","AMS-1.8","SOT-223-3_TabPin2",41.402000,-33.020000,270.000000,top
"U3","VS1053B","LQFP-48_7x7mm_P0.5mm",35.306000,-52.832000,180.000000,top
"U4","PAM8403","SOP-16_4.4x10.4mm_P1.27mm",36.322000,-71.374000,270.000000,top
"Y1","12.288","Crystal_SMD_HC49-SD_U",35.560000,-41.148000,0.000000,top
